dimensi,isu_kanonik,n_ulasan
Responsiveness,antre lama,961
Responsiveness,antre lama tidak dipanggil,431
Responsiveness,pelayanan lambat,386
Responsiveness,pelayanan lama,380
Responsiveness,antre berjam-jam,260
Responsiveness,antre obat lama,224
Responsiveness,waktu tunggu lama,216
Responsiveness,dokter umum lama,212
Responsiveness,telepon tidak diangkat,192
Responsiveness,pendaftaran lama,160
Responsiveness,hasil lab lama,133
Responsiveness,antre lama di poli umum,101
Reliability,antrian tidak sesuai urutan,678
Reliability,rujukan dipersulit,619
Reliability,sistem antrian tidak konsisten,561
Reliability,jam operasional tidak sesuai,477
Reliability,surat izin tidak diberi,438
Reliability,surat dokter tidak diberi,412
Reliability,sistem antrian tidak adil,290
Reliability,obat tidak diberikan,245
Reliability,daftar online tidak diprioritaskan,233
Reliability,bpjs dipersulit,163
Reliability,informasi vaksin tidak akurat,146
Reliability,informasi biaya tidak jelas,117
Assurance,dokter tidak profesional,400
Assurance,pemeriksaan tidak menyeluruh,299
Assurance,diagnosis tidak akurat,242
Assurance,petugas tidak profesional,235
Assurance,kondisi makin parah,172
Assurance,kondisi pasien memburuk,147
Assurance,tidak ada pemeriksaan fisik,121
Assurance,obat tidak efektif,114
Assurance,dokter gigi tidak kompeten,86
Assurance,petugas main hp saat kerja,81
Empathy,petugas tidak ramah,1389
Empathy,dokter tidak ramah,581
Empathy,petugas judes,535
Empathy,petugas tidak profesional,404
Empathy,staf tidak ramah,398
Empathy,dokter tidak menjelaskan,392
Empathy,bidan tidak ramah,374
Empathy,petugas membentak pasien,340
Empathy,tidak menjelaskan prosedur,266
Empathy,perawat tidak ramah,207
Empathy,pelayanan tidak ramah,177
Empathy,dokter gigi tidak ramah,78
Tangibles,tukang parkir tidak membantu,86
Tangibles,ac tidak berfungsi,55
Tangibles,ruang tunggu sempit,49
Tangibles,tempat kotor,48
Tangibles,tempat tidak nyaman,46
Tangibles,ruang tunggu panas,46
Tangibles,fasilitas tidak memadai,45
Tangibles,kursi tunggu tidak cukup,42
Tangibles,ventilasi udara buruk,35
Tangibles,toilet kotor,25
Tangibles,kebersihan kurang,21
Tangibles,termometer tidak akurat,21
