puskesmas_id,rating_bintang,text_neg_rate,n_reviews,mismatch
PKM_BTL_001,1.14,0.931,29,False
PKM_BTL_002,1.14,0.944,72,False
PKM_BTL_003,1.15,0.967,92,False
PKM_BTL_004,1.18,0.958,71,False
PKM_BTL_005,1.2,0.926,54,False
PKM_BTL_006,1.32,0.971,34,False
PKM_BTL_007,1.1,0.95,20,False
PKM_BTL_008,1.0,0.9,10,False
PKM_BTL_009,1.04,1.0,24,False
PKM_BTL_010,1.1,0.871,31,False
PKM_BTL_011,1.15,0.939,33,False
PKM_BTL_012,1.33,1.0,12,False
PKM_BTL_013,1.15,0.955,155,False
PKM_BTL_014,1.11,0.966,87,False
PKM_BTL_015,1.12,0.962,26,False
PKM_BTL_016,1.12,0.912,34,False
PKM_BTL_017,1.26,0.941,34,False
PKM_BTL_018,1.25,0.9,20,False
PKM_BTL_019,1.29,0.952,42,False
PKM_BTL_020,1.18,0.922,51,False
PKM_BTL_021,1.07,1.0,29,False
PKM_BTL_022,1.17,0.958,24,False
PKM_BTL_023,1.18,1.0,28,False
PKM_BTL_024,1.12,1.0,26,False
PKM_BTL_025,1.15,0.951,122,False
PKM_BTL_026,1.14,0.933,119,False
PKM_BTL_027,1.24,0.882,17,False
PKM_SBY_001,1.0,0.903,31,False
PKM_SBY_002,1.17,0.933,30,False
PKM_SBY_003,1.12,0.867,98,False
PKM_SBY_004,1.07,0.917,72,False
PKM_SBY_005,1.17,0.973,150,False
PKM_SBY_006,1.1,0.939,131,False
PKM_SBY_007,1.11,0.981,160,False
PKM_SBY_008,1.13,0.947,151,False
PKM_SBY_009,1.18,0.938,80,False
PKM_SBY_010,1.08,0.972,71,False
PKM_SBY_011,1.1,0.932,118,False
PKM_SBY_012,1.0,0.97,66,False
PKM_SBY_013,1.06,0.955,156,False
PKM_SBY_014,1.11,0.947,75,False
PKM_SBY_015,1.12,0.892,65,False
PKM_SBY_016,1.15,0.927,123,False
PKM_SBY_017,1.11,0.971,103,False
PKM_SBY_018,1.16,0.901,81,False
PKM_SBY_019,1.14,0.967,91,False
PKM_SBY_020,1.12,0.89,73,False
PKM_SBY_021,1.08,0.918,85,False
PKM_SBY_022,1.06,0.935,31,False
PKM_SBY_023,1.12,0.987,78,False
PKM_SBY_024,1.0,1.0,1,False
PKM_SBY_025,1.2,0.942,86,False
PKM_SBY_026,1.25,1.0,52,False
PKM_SBY_027,1.14,0.94,116,False
PKM_SBY_028,1.14,0.953,86,False
PKM_SBY_029,1.1,0.968,62,False
PKM_SBY_030,1.14,0.904,94,False
PKM_SBY_031,1.04,0.885,52,False
PKM_SBY_032,1.07,0.978,137,False
PKM_SBY_033,1.11,0.982,55,False
PKM_SBY_034,1.1,0.933,149,False
PKM_SBY_035,1.07,0.971,70,False
PKM_SBY_036,1.17,0.907,54,False
PKM_SBY_037,1.06,0.965,113,False
PKM_SBY_038,1.12,0.859,85,False
PKM_SBY_039,1.04,0.939,98,False
PKM_SBY_040,1.14,1.0,43,False
PKM_SBY_041,1.15,0.949,99,False
PKM_SBY_042,1.09,0.941,34,False
PKM_SBY_043,1.15,0.959,73,False
PKM_SBY_044,1.12,0.974,116,False
PKM_SBY_045,1.17,0.972,217,False
PKM_SBY_046,1.08,0.953,170,False
PKM_SBY_047,1.08,0.967,121,False
PKM_SBY_048,1.16,0.947,38,False
PKM_SBY_049,1.09,0.96,75,False
PKM_SBY_050,1.08,0.989,88,False
PKM_SBY_051,1.2,0.951,82,False
PKM_SBY_052,1.13,0.965,85,False
PKM_SBY_053,1.12,0.934,136,False
PKM_SBY_054,1.22,0.969,64,False
PKM_SBY_055,1.2,0.922,128,False
PKM_SBY_056,1.08,0.947,38,False
PKM_SBY_057,1.18,0.935,123,False
PKM_SBY_058,1.08,0.977,86,False
PKM_SBY_059,1.14,0.924,118,False
PKM_SBY_060,1.11,0.958,71,False
PKM_SBY_061,1.1,0.934,121,False
PKM_SBY_062,1.12,0.945,91,False
PKM_SBY_063,1.14,0.942,104,False
PKM_SMG_001,1.09,1.0,33,False
PKM_SMG_002,1.23,0.946,92,False
PKM_SMG_003,1.18,1.0,11,False
PKM_SMG_004,1.12,1.0,33,False
PKM_SMG_005,1.13,1.0,71,False
PKM_SMG_006,1.19,0.981,53,False
PKM_SMG_007,1.1,0.966,29,False
PKM_SMG_008,1.2,0.982,55,False
PKM_SMG_009,1.22,0.978,45,False
PKM_SMG_010,1.18,1.0,51,False
PKM_SMG_011,1.07,1.0,68,False
PKM_SMG_012,1.17,1.0,47,False
PKM_SMG_013,1.16,0.96,25,False
PKM_SMG_014,1.26,0.989,90,False
PKM_SMG_015,1.18,1.0,39,False
PKM_SMG_016,1.04,0.917,24,False
PKM_SMG_017,1.15,1.0,47,False
PKM_SMG_018,1.25,1.0,8,False
PKM_SMG_019,1.17,1.0,42,False
PKM_SMG_020,1.19,0.987,77,False
PKM_SMG_021,1.08,1.0,25,False
PKM_SMG_022,1.15,0.987,78,False
PKM_SMG_023,1.27,1.0,22,False
PKM_SMG_024,1.21,1.0,33,False
PKM_SMG_025,1.18,1.0,22,False
PKM_SMG_026,1.13,1.0,38,False
PKM_SMG_027,1.0,1.0,2,False
PKM_SMG_028,1.15,1.0,39,False
PKM_SMG_029,1.24,1.0,21,False
PKM_SMG_030,1.11,0.964,28,False
PKM_SMG_031,1.19,1.0,62,False
PKM_SMG_032,1.29,0.984,62,False
PKM_SMG_033,1.18,1.0,38,False
PKM_SMG_034,1.22,1.0,18,False
PKM_SMG_035,1.16,0.979,97,False
PKM_SMG_036,1.19,0.947,57,False
PKM_SMG_037,1.38,0.923,13,False
